Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,24,NYK,68,22,1287,4.3,9.3,0.459,0.5,1.7,0.3,3.7,7.6,0.494,2.1,2.7,0.784,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1
2,Jordan Adams,SG,20,MEM,30,0,248,5.1,12.5,0.407,1.5,3.6,0.4,3.6,8.9,0.41,2,3.3,0.609,1.3,2.8,4.1,2.3,2.3,1,2,3.5,13.6
3,Steven Adams,C,21,OKC,70,67,1771,4.4,8.1,0.544,0,0,0,4.4,8.1,0.547,2.1,4.2,0.502,4,6.6,10.6,1.3,0.8,1.7,2,4.5,10.9
4,Jeff Adrien,PF,28,MIN,17,0,215,3.2,7.4,0.432,0,0,,3.2,7.4,0.432,3.7,6.4,0.579,3.9,9,12.9,2.5,0.7,1.5,1.5,5,10
5,Arron Afflalo,SG,29,TOT,78,72,2502,5.4,12.7,0.424,1.7,4.8,0.354,3.7,7.9,0.466,2.4,2.8,0.843,0.4,3.2,3.6,1.9,0.6,0.1,1.7,2.4,14.9
6,Alexis Ajinça,C,26,NOP,68,8,957,6.8,12.4,0.55,0,0,,6.8,12.4,0.55,3,3.7,0.818,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7
7,Furkan Aldemir,PF,23,PHI,41,9,540,2.7,5.2,0.513,0,0.3,0,2.7,4.9,0.548,0.9,1.8,0.481,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2
8,Cole Aldrich,C,26,NYK,61,16,976,5.3,11.1,0.478,0,0,,5.3,11.1,0.478,1.8,2.4,0.781,3.7,8.7,12.5,2.8,1.4,2.4,2.2,4.5,12.5
9,LaMarcus Aldridge,PF,29,POR,71,71,2512,9.4,20.3,0.466,0.5,1.5,0.352,8.9,18.8,0.475,4.4,5.2,0.845,2.5,7.9,10.4,1.8,0.7,1,1.7,1.8,23.8
10,Lavoy Allen,C,25,IND,63,0,1070,4.7,10.1,0.472,0,0,,4.7,10.1,0.472,1.1,1.6,0.702,4.1,6.7,10.9,2.5,0.5,1.4,1.3,3.4,10.6
11,Tony Allen,SG,33,MEM,63,41,1648,4.9,9.9,0.495,0.2,0.6,0.345,4.7,9.3,0.505,1.7,2.8,0.627,2.3,3.9,6.1,1.9,2.8,0.7,1.9,3.6,11.8
12,Al-Farouq Aminu,SF,24,DAL,74,3,1366,3.9,9.4,0.412,0.9,3.3,0.274,3,6.1,0.485,2.2,3.1,0.712,3,6,9,1.6,1.8,1.6,1.4,3.6,10.9
13,Lou Amundson,PF,32,TOT,53,35,937,4.2,9.8,0.427,0,0,0,4.2,9.8,0.429,1.6,3.3,0.471,3.6,6.7,10.3,2.7,0.8,2,2.4,4.8,10
14,Chris Andersen,C,36,MIA,60,20,1132,3.8,6.6,0.58,0.1,0.4,0.308,3.7,6.2,0.598,2.4,3.6,0.667,2.4,7.1,9.5,1.4,0.8,1.9,1.3,2.8,10.2
15,Alan Anderson,SG,32,BRK,74,19,1744,4,9.1,0.443,1.5,4.3,0.348,2.5,4.7,0.53,1.7,2.1,0.812,0.6,3.6,4.2,1.7,1.2,0.1,1.2,3.1,11.3
16,Kyle Anderson,SF,21,SAS,33,8,358,3.1,8.9,0.348,0.3,1.1,0.273,2.8,7.8,0.359,0.9,1.4,0.643,0.5,6.7,7.2,2.8,1.5,0.7,1,2.8,7.4
17,Ryan Anderson,PF,26,NOP,61,5,1675,6.3,15.7,0.399,2.6,7.7,0.34,3.6,8,0.457,2.8,3.2,0.854,2.3,4,6.3,1.2,0.7,0.4,1.3,2.4,17.9
18,Giannis Antetokounmpo,SG,20,MIL,81,71,2541,5.4,11.1,0.491,0.1,0.6,0.159,5.3,10.4,0.511,3.6,4.9,0.741,1.4,6.3,7.7,2.9,1,1.2,2.5,3.6,14.6
19,Carmelo Anthony,SF,30,NYK,40,40,1428,9,20.3,0.444,1.5,4.5,0.341,7.5,15.8,0.474,4.8,6,0.797,1.8,4.8,6.7,3.1,1,0.4,2.2,2.2,24.4
20,Joel Anthony,C,32,DET,49,0,406,3.2,5.5,0.581,0,0,,3.2,5.5,0.581,1.3,2,0.682,2.8,5.4,8.2,0.4,1.1,4.3,1.1,4.9,7.7
21,Pero Anti_,C,32,ATL,63,3,1037,3.7,10.3,0.365,1.8,6,0.301,1.9,4.3,0.455,3.1,4.3,0.715,2,4.5,6.6,1.7,0.6,0.5,1.7,4.6,12.4
22,Trevor Ariza,SF,29,HOU,82,82,2930,4.5,11.2,0.402,2.4,6.8,0.35,2.1,4.4,0.485,1.5,1.8,0.853,0.9,4.7,5.6,2.6,1.9,0.2,1.7,2.3,12.9
23,Darrell Arthur,PF,26,DEN,58,4,988,5.6,14,0.404,0.9,4,0.236,4.7,10,0.471,1.7,2.1,0.78,1.9,4.3,6.2,2.1,1.7,0.9,1.7,5.3,13.9
24,Ömer A_ık,C,28,NOP,76,76,1982,3.9,7.5,0.517,0,0,,3.9,7.5,0.517,2.4,4.1,0.582,4.4,9.2,13.6,1.3,0.5,1,1.7,2.6,10.1
25,D.J. Augustin,PG,27,TOT,82,14,1964,4.7,11.9,0.399,1.5,4.5,0.337,3.2,7.4,0.436,3.3,3.8,0.868,0.4,2.6,3,6.5,0.9,0.1,2.7,1.7,14.2
