Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,C,30,SAC,80,45,2015,5.5,11.7,0.474,0.1,0.4,0.15,5.5,11.3,0.484,3,4.2,0.726,2.2,4.9,7.1,1.9,0.9,0.7,2.1,4.3,14.2
2,Hassan Adams,SG,22,NJN,61,8,495,5.5,9.8,0.556,0,0.1,0,5.5,9.7,0.56,1.7,2.6,0.667,2.5,3.1,5.6,0.9,1.2,0.3,1.6,3.4,12.7
3,Maurice Ager,SG,22,DAL,32,1,214,3.7,11.8,0.314,0.8,2.5,0.333,2.9,9.3,0.309,3.4,5.6,0.606,0.2,3.4,3.5,1.2,0.7,0.5,2.5,4.5,11.6
4,LaMarcus Aldridge,C,21,POR,63,22,1392,6.2,12.4,0.503,0,0.1,0,6.2,12.3,0.505,2.1,3,0.722,3.7,4.3,8.1,0.6,0.6,1.9,1.1,4.8,14.6
5,Malik Allen,PF,28,CHI,60,1,638,6,14.6,0.415,0,0.1,0,6,14.5,0.416,1.6,1.9,0.824,2.4,4.3,6.7,0.9,1,0.9,1.2,4.8,13.7
6,Ray Allen*,SG,31,SEA,55,55,2219,8.2,18.7,0.438,2.7,7.2,0.372,5.5,11.5,0.479,4.5,5,0.903,0.9,3.1,4,3.7,1.3,0.2,2.5,1.8,23.6
7,Tony Allen,SG,25,BOS,33,18,805,5.9,11.6,0.514,0.4,1.5,0.242,5.6,10.1,0.553,4.7,6,0.784,1.6,4,5.5,2.5,2.2,0.5,3.4,3.9,16.9
8,Rafer Alston,PG,30,HOU,82,82,3040,4.5,12.1,0.375,2.3,6.3,0.363,2.3,5.8,0.389,1.5,2.1,0.734,0.3,3,3.3,5.3,1.5,0.1,2,2.3,12.9
9,Lou Amundson,PF,24,TOT,11,0,89,2.4,6.1,0.4,0,0,,2.4,6.1,0.4,1.6,4,0.4,5.3,6.1,11.3,0.4,0.4,3.2,2,6.1,6.5
10,Alan Anderson,SG,24,CHA,17,0,256,5.2,11.4,0.457,0.7,2.8,0.25,4.5,8.6,0.525,2.7,3.2,0.826,1.5,3,4.5,3,1,0,3.1,4.6,13.8
11,Derek Anderson,SF,32,CHA,50,32,1190,3.8,8.9,0.429,1.6,4.6,0.355,2.2,4.3,0.507,2.8,3.2,0.877,0.9,2.5,3.4,4,1.6,0.2,1.7,3.5,12.1
12,Carmelo Anthony,SF,22,DEN,65,65,2486,10,21,0.476,0.6,2.2,0.268,9.4,18.9,0.499,6.6,8.2,0.808,2.1,3.6,5.7,3.6,1.1,0.3,3.4,2.9,27.2
13,Rafael Araújo,C,26,UTA,28,0,248,3.9,9.4,0.415,0,0,,3.9,9.4,0.415,2.6,4.2,0.621,3.2,6.4,9.6,1.5,0.9,0.3,2.5,5.7,10.5
14,Gilbert Arenas,PG,25,WAS,74,73,2942,7.9,18.9,0.418,2.5,7.1,0.351,5.4,11.8,0.459,7.4,8.8,0.844,0.7,3.4,4.1,5.4,1.7,0.2,2.9,3,25.8
15,Trevor Ariza,SG,21,ORL,57,7,1278,5.6,10.5,0.539,0,0.2,0,5.6,10.3,0.549,3,4.8,0.62,2.8,4.3,7,1.8,1.7,0.5,2.4,3.8,14.3
16,Darrell Armstrong,PG,38,IND,81,4,1275,4.4,10.6,0.414,2,6,0.336,2.4,4.6,0.515,2.1,2.6,0.785,1,2.9,3.8,5.4,2,0.2,2.1,2.9,12.9
17,Hilton Armstrong,C,22,NOK,56,5,634,3.9,7.1,0.544,0,0,,3.9,7.1,0.544,2.3,3.8,0.597,3.3,5.2,8.5,0.6,0.7,1.5,2,4.5,10
18,Carlos Arroyo,PG,27,ORL,72,5,1304,5.6,13.2,0.425,0.4,1.4,0.275,5.2,11.8,0.443,3.6,4.6,0.795,0.9,2.8,3.7,5.6,1.1,0.1,2.5,3.6,15.2
19,Chucky Atkins,PG,32,MEM,75,23,2064,5.4,12.5,0.434,2,5.3,0.379,3.4,7.1,0.474,4.4,5.4,0.81,0.3,2.1,2.4,6,0.9,0.1,2.2,2.4,17.2
20,James Augustine,PF,22,ORL,2,0,7,5.1,15.4,0.333,0,0,,5.1,15.4,0.333,0,0,,5.1,10.3,15.4,10.3,0,0,0,10.3,10.3
21,Kelenna Azubuike,SG,23,GSW,41,9,669,5.3,11.8,0.445,1.8,4.3,0.43,3.4,7.6,0.454,3.3,4.2,0.782,1.4,3.7,5.1,1.5,1.2,0.5,2.1,2.6,15.7
22,Renaldo Balkman,SF,22,NYK,68,1,1064,4.7,9.3,0.505,0.2,0.9,0.185,4.5,8.4,0.54,1.7,3,0.567,3.3,6.7,9.9,1.5,1.9,1.5,1.7,4.9,11.3
23,Marcus Banks,PG,25,PHO,45,1,503,6,14,0.429,0.4,2.1,0.172,5.7,12,0.473,3.4,4.3,0.8,0.7,2,2.7,4.3,1.6,0.2,2.9,5,15.8
24,Leandro Barbosa,SG,24,PHO,80,18,2613,7.3,15.3,0.476,2.6,6,0.434,4.7,9.3,0.504,2.7,3.2,0.845,0.3,2.6,2.9,4.4,1.3,0.2,2,2.9,19.9
25,J.J. Barea,PG,22,DAL,33,1,191,5.3,14.7,0.359,1.1,4,0.286,4.1,10.7,0.386,3,4.5,0.667,1.3,3.4,4.7,4.5,0.2,0.2,2.6,3.6,14.7
26,Andrea Bargnani,PF,21,TOR,65,2,1629,5.9,13.8,0.427,2.2,5.9,0.373,3.7,7.9,0.468,2.6,3.1,0.824,1.1,4.5,5.6,1.1,0.7,1.2,2.4,4,16.6
27,Matt Barnes,PF,26,GSW,76,23,1813,5.5,12.5,0.438,2.1,5.8,0.366,3.4,6.7,0.5,1.8,2.4,0.732,1.8,5.1,6.9,3.1,1.4,0.8,2.1,3.7,14.8
28,Andre Barrett,PG,24,CHI,6,0,29,5,9.9,0.5,0,0,,5,9.9,0.5,0,0,,1.2,5,6.2,8.7,0,0,5,5,9.9
29,Earl Barron,C,25,MIA,28,0,203,4.3,14.7,0.289,0,0.2,0,4.3,14.5,0.293,3,3.2,0.944,3.4,3.9,7.3,0.9,1.1,0.7,2,3.7,11.5
