Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,2221,4.4,9.5,0.465,1.8,4,0.434,2.7,5.4,0.488,1.2,1.6,0.735,1,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7
2,Alexis Ajinça,C,21,CHA,6,0,30,6,12,0.5,0,0,,6,12,0.5,0,1.2,0,1.2,3.6,4.8,0,1.2,1.2,2.4,6,12
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,7.1,14.4,0.495,0.1,0.2,0.313,7.1,14.2,0.498,2.8,3.7,0.757,2.4,5.4,7.7,2,0.8,0.6,1.3,2.8,17.2
4,Joe Alexander,SF,23,CHI,8,0,29,1.2,7.4,0.167,0,1.2,0,1.2,6.2,0.2,2.5,3.7,0.667,2.5,3.7,6.2,2.5,1.2,1.2,0,11.2,5
5,Malik Allen,PF,31,DEN,51,3,456,3.6,9.2,0.397,0.1,0.5,0.167,3.6,8.7,0.409,0.9,1,0.923,2.8,3.6,6.5,1.3,0.9,0.4,1.7,5.4,8.3
6,Ray Allen*,SG,34,BOS,80,80,2819,5.9,12.4,0.477,1.9,5.1,0.363,4.1,7.3,0.556,2.9,3.2,0.913,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7
7,Tony Allen,SG,28,BOS,54,8,889,5.2,10.2,0.51,0,0.2,0,5.2,10,0.52,2.9,4.8,0.605,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4
8,Rafer Alston,PG,33,TOT,52,38,1421,3.9,11.3,0.348,1.5,4.3,0.345,2.5,7,0.349,1.5,2.1,0.728,0.3,2.9,3.3,4.5,1.3,0.3,2.4,2.6,10.8
9,Lou Amundson,PF,27,PHO,79,0,1168,4.7,8.5,0.551,0,0,0,4.7,8.5,0.553,2.1,3.8,0.545,3.9,6.7,10.7,1,0.7,2.3,1.8,5.2,11.4
10,Chris Andersen,PF,31,DEN,76,0,1695,3,5.3,0.566,0,0.1,0,3,5.3,0.573,3.5,5,0.695,3.1,7.1,10.3,0.7,0.9,3,1.3,3.6,9.5
11,David Andersen,C,29,HOU,63,0,891,5.9,13.7,0.432,1.1,3.2,0.346,4.8,10.6,0.458,1.9,2.7,0.687,2.2,6.2,8.4,1.8,0.6,0.5,1.5,4.8,14.8
12,Antonio Anderson,SF,24,OKC,1,0,15,2.4,7.2,0.333,0,0,,2.4,7.2,0.333,0,0,,2.4,0,2.4,0,0,0,2.4,2.4,4.8
13,Ryan Anderson,PF,21,ORL,63,6,911,6.7,15.3,0.436,3.1,8.3,0.37,3.6,7,0.514,2.8,3.2,0.866,2.8,5.2,8,1.5,1,0.6,2.2,3.2,19.2
14,Carmelo Anthony,SF,25,DEN,69,69,2634,9.4,20.5,0.458,0.8,2.6,0.316,8.6,18,0.478,6.9,8.4,0.83,2.1,4.1,6.2,3,1.2,0.4,2.9,3.1,26.6
15,Joel Anthony,C,27,MIA,80,16,1322,2.1,4.3,0.478,0,0,,2.1,4.3,0.478,1.8,2.5,0.717,3.3,3.4,6.8,0.3,0.5,3,1.2,4.3,5.9
16,Gilbert Arenas,PG,28,WAS,32,32,1169,7.8,19,0.411,1.9,5.6,0.348,5.9,13.4,0.437,4.7,6.4,0.739,0.5,3.6,4.1,7.1,1.3,0.3,3.6,2.9,22.2
17,Trevor Ariza,SF,24,HOU,72,71,2629,5.4,13.7,0.394,1.9,5.6,0.334,3.5,8.1,0.436,2,3.1,0.649,1.1,4.5,5.5,3.8,1.7,0.5,2.2,2.2,14.7
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,3,8.5,0.354,0,0.1,0,3,8.4,0.359,1.6,3.4,0.469,2.9,5.8,8.7,2.3,1.6,1.3,2.4,6.3,7.6
19,Carlos Arroyo,PG,30,MIA,72,35,1585,4,8.5,0.475,0.2,0.6,0.28,3.9,7.9,0.489,1.7,2,0.844,0.6,2.4,3,5.1,0.8,0.1,1.2,2.3,10
20,Darrell Arthur,PF,21,MEM,32,1,457,5,11.5,0.432,0,0.1,0,5,11.4,0.434,1.3,2.4,0.567,2.9,5.8,8.7,1.2,1.1,1.1,1.7,4.7,11.3
21,Chucky Atkins,PG,35,DET,40,11,644,3.2,8.8,0.363,1.2,4.1,0.301,2,4.7,0.417,1.4,1.5,0.926,0.3,1.3,1.6,5.1,1,0,1.8,3,9
22,D.J. Augustin,PG,22,CHA,80,2,1472,4.1,10.6,0.386,1.7,4.4,0.393,2.4,6.3,0.381,2.5,3.2,0.779,0.3,2.1,2.4,4.7,1.1,0.1,1.8,3.1,12.4
23,Jeff Ayres,C,22,POR,39,4,405,3.8,5.8,0.662,0,0,,3.8,5.8,0.662,1.6,1.8,0.9,2.2,6.5,8.7,0.1,0.6,1.4,1.1,6.8,9.2
24,Kelenna Azubuike,SF,26,GSW,9,7,231,7.5,13.7,0.545,1.6,4.2,0.37,5.9,9.5,0.623,3,4.4,0.679,1.9,4.5,6.4,1.6,0.8,1.4,1.1,2.5,19.5
25,Renaldo Balkman,SF,25,DEN,13,1,91,2.4,7.1,0.333,0,2.8,0,2.4,4.4,0.545,0.8,2.4,0.333,1.6,7.5,9.1,2.8,3.2,0.8,2.4,6.3,5.5
26,Marcus Banks,PG,28,TOR,22,0,244,5.8,10.8,0.534,1,3.5,0.292,4.7,7.2,0.653,3.5,4.3,0.828,0.4,3,3.4,3.8,1.8,0.3,3,4.4,16.1
27,Leandro Barbosa,PG,27,PHO,44,5,786,7.1,16.7,0.425,2,6.2,0.324,5.1,10.5,0.485,2.9,3.3,0.877,0.5,2.7,3.2,2.9,1.1,0.5,2.1,3.3,19.1
28,J.J. Barea,PG,25,DAL,78,18,1546,5.4,12.3,0.44,1.3,3.7,0.357,4.1,8.6,0.476,1.8,2.1,0.844,0.4,3,3.4,6,0.8,0.1,2.4,2.8,13.9
29,Andrea Bargnani,PF,24,TOR,80,80,2799,6.9,14.7,0.47,1.6,4.2,0.372,5.4,10.5,0.509,2.3,3,0.774,1.4,5,6.3,1.2,0.3,1.4,1.5,2.8,17.7
30,Matt Barnes,SF,29,ORL,81,58,2097,4.7,9.6,0.487,1.1,3.6,0.319,3.5,6,0.586,1.9,2.5,0.74,1.8,5.8,7.6,2.3,1,0.5,1.9,3.2,12.3
31,Earl Barron,C,28,NYK,7,6,232,4.7,10.6,0.441,0,0,,4.7,10.6,0.441,3.4,4.5,0.759,4.8,7.1,11.9,1.2,0.6,0.6,1.7,3.7,12.7
32,Brandon Bass,PF,24,ORL,50,3,648,6.6,12.9,0.511,0,0,,6.6,12.9,0.511,2.9,3.5,0.825,3,4.1,7.1,1.1,0.7,1.5,1.7,3.8,16.1
33,Tony Battie,C,33,NJN,15,0,134,3.8,10.7,0.35,0.3,1.1,0.25,3.5,9.7,0.361,1.9,2.7,0.7,1.1,5.1,6.2,0.8,1.1,0.5,0.8,5.1,9.7
