Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Quincy Acy,PF,25,SAC,59,29,876,4.9,8.8,0.556,0.8,2,0.388,4.1,6.8,0.606,2.1,2.8,0.735,2.7,5.1,7.7,1.1,1.2,1,1.1,4.2,12.6
2,Jordan Adams,SG,21,MEM,2,0,15,4.8,14.4,0.333,0,2.4,0,4.8,12,0.4,7.2,12,0.6,0,4.8,4.8,7.2,7.2,0,4.8,4.8,16.8
3,Steven Adams,C,22,OKC,80,80,2014,4.7,7.6,0.613,0,0,,4.7,7.6,0.613,2,3.5,0.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4,11.4
4,Arron Afflalo,SG,30,NYK,71,57,2371,5.4,12.1,0.443,1.4,3.6,0.382,4,8.5,0.469,1.7,2,0.84,0.3,3.7,4,2.2,0.4,0.2,1.2,2.2,13.8
5,Alexis Ajinça,C,27,NOP,59,17,861,6.3,13.2,0.476,0,0,0,6.3,13.1,0.478,2.2,2.6,0.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7
6,Cole Aldrich,C,27,LAC,60,5,800,6,10.1,0.596,0,0,,6,10.1,0.596,2.7,3.8,0.714,3.9,9.1,13,2.3,2.1,3.1,2.9,6.3,14.8
7,LaMarcus Aldridge,PF,30,SAS,74,74,2261,8.5,16.6,0.513,0,0.3,0,8.5,16.4,0.521,4.1,4.8,0.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2
8,Cliff Alexander,PF,20,POR,8,0,36,5,10,0.5,0,0,,5,10,0.5,0,0,,2,4,6,0,1,2,1,1,10
9,Lavoy Allen,PF,26,IND,79,28,1599,4.3,8.3,0.516,0,0,,4.3,8.3,0.516,1,1.6,0.63,3.6,5.9,9.5,1.7,0.6,0.9,1.6,3.3,9.6
10,Tony Allen,SG,34,MEM,64,57,1620,4.8,10.4,0.458,0.3,0.9,0.357,4.4,9.5,0.468,2,3.1,0.652,2.3,4.3,6.6,1.6,2.4,0.4,1.7,3.9,11.9
11,Al-Farouq Aminu,SF,25,POR,82,82,2341,4.6,11.1,0.416,1.9,5.4,0.361,2.7,5.7,0.468,1.8,2.4,0.737,1.5,6.2,7.7,2.1,1.1,0.8,1.8,2.6,12.9
12,Lou Amundson,PF,33,NYK,29,0,204,3.4,9.4,0.358,0,0,,3.4,9.4,0.358,2.5,4.8,0.519,4.1,4.6,8.6,2.1,1.1,1.2,2.6,7.8,9.2
13,Chris Andersen,C,37,TOT,27,15,402,3.4,6.4,0.528,0.4,1.3,0.286,3,5.2,0.586,2.2,3.2,0.694,3.2,5.6,8.8,1.1,1.3,1.2,0.8,2.6,9.4
14,Alan Anderson,SG,33,WAS,13,0,192,3.9,11.1,0.356,2.3,6.9,0.324,1.7,4.1,0.409,2.1,2.8,0.733,0.2,4.9,5.1,2.6,0.7,0.2,0.4,4.7,12.2
15,James Anderson,SG,26,SAC,51,15,721,3.3,8.9,0.376,1.1,4.3,0.267,2.2,4.6,0.478,1.1,1.4,0.759,0.6,3.6,4.3,2,1,0.7,2.1,2.7,8.9
16,Justin Anderson,SF,22,DAL,55,9,647,4,9.7,0.406,1.2,4.6,0.265,2.7,5.1,0.533,2.4,3.1,0.8,1,6.3,7.3,1.6,1.1,1.4,1.3,2.5,11.6
17,Kyle Anderson,SF,22,SAS,78,11,1245,4,8.5,0.468,0.3,1.1,0.324,3.6,7.5,0.488,1.8,2.4,0.747,0.7,6.3,7.1,3.6,1.7,0.8,1.7,2.8,10.1
18,Ryan Anderson,PF,27,NOP,66,7,2008,7.1,16.7,0.427,2.3,6.4,0.366,4.8,10.2,0.466,3.6,4.1,0.873,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2,20.2
19,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,6.5,12.9,0.506,0.4,1.4,0.257,6.2,11.5,0.537,3.8,5.2,0.724,1.4,6.4,7.8,4.4,1.2,1.4,2.7,3.3,17.2
20,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,18,24,0.75,0,6,0,18,18,1,0,0,,0,6,6,0,0,0,0,12,36
21,Carmelo Anthony,SF,31,NYK,72,72,2530,8.1,18.6,0.434,1.5,4.4,0.339,6.6,14.2,0.463,4.8,5.7,0.829,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4
22,Joel Anthony,C,33,DET,19,0,96,2.3,3.7,0.6,0,0,,2.3,3.7,0.6,2.3,3,0.75,3,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8
23,Keith Appling,PG,23,ORL,5,0,27,2.7,10.7,0.25,0,4,0,2.7,6.7,0.4,2.7,2.7,1,0,1.3,1.3,1.3,1.3,0,4,6.7,8
24,Trevor Ariza,SF,30,HOU,81,81,2859,4.5,10.8,0.416,2.3,6.3,0.371,2.2,4.5,0.478,1.6,2,0.783,0.8,3.8,4.6,2.4,2,0.3,1.4,2.2,12.9
25,Darrell Arthur,PF,27,DEN,70,16,1516,5.2,11.6,0.452,1.1,2.8,0.385,4.2,8.8,0.473,0.9,1.3,0.755,2,4.9,7,2.3,1.3,1.1,1.6,4.4,12.5
26,Ömer A_ık,C,29,NOP,68,64,1178,3.2,6,0.533,0,0,,3.2,6,0.533,1.9,3.4,0.545,3.7,9,12.7,0.8,0.6,0.7,1.8,3.8,8.2
27,D.J. Augustin,PG,28,TOT,62,0,1178,4.5,10.7,0.423,2.1,5.1,0.405,2.4,5.6,0.44,3.1,3.9,0.805,0.2,2.7,2.9,6.1,1.2,0.1,2.6,2.6,14.3
28,Jeff Ayres,C,28,LAC,17,0,107,4,7.7,0.522,0,0.3,0,4,7.4,0.545,2,2,1,1.3,6.1,7.4,1.7,0,1,2,6.1,10.1
29,Luke Babbitt,SF,26,NOP,47,13,845,5.2,12.3,0.422,1.9,4.6,0.404,3.3,7.7,0.433,1.7,2.1,0.78,1.1,5.2,6.3,2.3,0.5,0.3,1,3.8,13.9
30,Cameron Bairstow,C,25,CHI,18,2,103,4.5,14,0.325,0.3,1.7,0.2,4.2,12.2,0.343,2.4,2.8,0.875,1.4,8.4,9.8,2.1,0.7,1,1.4,6.6,11.9
31,Leandro Barbosa,SG,33,GSW,68,0,1079,5.7,12.3,0.462,1.3,3.7,0.355,4.4,8.7,0.508,1.7,2.1,0.839,0.9,3,3.9,2.7,1.5,0.3,1.8,3.6,14.4
32,J.J. Barea,PG,31,DAL,74,16,1667,6.8,15.4,0.446,2.2,5.6,0.385,4.7,9.7,0.481,1.6,2.1,0.771,0.6,2.7,3.3,6.5,0.6,0,2.4,2.4,17.4
33,Andrea Bargnani,C,30,BRK,46,0,634,7.2,15.8,0.455,0.2,0.9,0.188,7,14.9,0.471,2.7,3.2,0.825,1.6,3.9,5.5,1,0.2,0.5,1.5,3.5,17.3
34,Harrison Barnes,SF,23,GSW,66,59,2042,5.2,11.2,0.466,1.4,3.8,0.383,3.8,7.4,0.508,1.8,2.4,0.761,1.4,4.4,5.7,2.1,0.7,0.2,1,2.4,13.6
35,Matt Barnes,SF,35,MEM,76,45,2190,4.3,11.4,0.381,2,6.1,0.322,2.4,5.3,0.449,1.8,2.3,0.804,1.4,5.5,6.9,2.7,1.3,0.9,2,3.8,12.5
36,Will Barton,SG,25,DEN,82,1,2353,6.5,15,0.432,1.7,5,0.345,4.8,10.1,0.476,3.3,4.1,0.806,0.9,6.4,7.3,3.1,1.1,0.6,2.1,2.2,18
37,Brandon Bass,PF,30,LAL,66,0,1342,4.7,8.5,0.549,0,0.1,0,4.7,8.5,0.552,3.4,4,0.845,2.8,4.9,7.6,2,0.9,1.5,1.1,3.4,12.7
38,Nicolas Batum,SF,27,CHO,70,70,2448,5.5,12.8,0.426,2,5.9,0.348,3.4,7,0.492,2.4,2.8,0.849,0.8,5.5,6.3,5.9,1,0.6,3,1.7,15.4
39,Jerryd Bayless,SG,27,MIL,52,18,1505,4.4,10.5,0.423,2.4,5.5,0.437,2,4.9,0.408,1.7,2.2,0.778,0.5,2.9,3.4,3.9,1.1,0.3,1.7,2.7,12.9
40,Aron Baynes,C,29,DET,81,1,1233,5.7,11.2,0.505,0,0.1,0,5.7,11.2,0.508,3.7,4.8,0.764,4.1,7.1,11.2,1.5,0.6,1.5,2,4.4,15
41,Kent Bazemore,SF,26,ATL,75,68,2083,5.5,12.5,0.441,1.9,5.3,0.357,3.6,7.3,0.502,2.1,2.6,0.815,0.5,6.1,6.6,3,1.7,0.7,2.4,3,15.1
42,Bradley Beal,SG,22,WAS,55,35,1708,7.6,16.8,0.449,2.2,5.7,0.387,5.4,11.1,0.481,2.8,3.7,0.767,0.9,3.1,4,3.4,1.1,0.2,2.4,2.5,20.2
43,Michael Beasley,PF,27,HOU,20,0,363,10.6,20.3,0.522,0.3,0.9,0.333,10.3,19.4,0.531,3.8,4.9,0.776,2.9,6.8,9.7,1.6,1.1,0.9,2.4,3.9,25.3
44,Marco Belinelli,SG,29,SAC,68,7,1672,5.3,13.7,0.386,2,6.4,0.306,3.3,7.3,0.456,2.5,3,0.833,0.2,2.3,2.5,2.7,0.8,0,1.7,2,15
45,Anthony Bennett,PF,22,TOR,19,0,84,3.4,11.6,0.296,1.3,6,0.214,2.1,5.6,0.385,3.9,4.3,0.9,2.6,7.3,9.9,0,2.1,0,1.7,3.4,12
46,Patrick Beverley,PG,27,HOU,71,63,2041,4.6,10.5,0.434,2.2,5.5,0.4,2.4,5,0.472,1.1,1.6,0.682,1.3,3.1,4.4,4.2,1.7,0.5,1.6,4.1,12.3
47,Bismack Biyombo,C,23,TOR,82,22,1808,3.1,5.7,0.542,0,0,0,3.1,5.7,0.544,2.8,4.5,0.628,3.6,9.4,13,0.6,0.4,2.6,1.4,4.5,9
48,Nemanja Bjelica,PF,27,MIN,60,0,1075,3.7,7.9,0.468,1.6,4.2,0.384,2.1,3.7,0.564,1.3,1.8,0.727,1.6,5.4,7,2.8,0.9,0.7,1.6,5.2,10.3
49,Tarik Black,C,24,LAL,39,0,496,4.1,7.5,0.548,0,0,,4.1,7.5,0.548,1.4,3.3,0.422,3.2,8.2,11.4,1.2,1,1.3,1.6,5.7,9.7
50,DeJuan Blair,C,26,WAS,29,0,218,4.6,11.2,0.412,0,0.2,0,4.6,11.1,0.418,0.8,2.1,0.385,3.3,6.1,9.4,1.8,1.3,0.3,2.5,8.8,10.1
51,Steve Blake,PG,35,DET,58,2,986,3.4,8.8,0.388,1.9,5.5,0.344,1.5,3.2,0.461,0.6,0.7,0.8,0.3,2.9,3.2,7.3,0.9,0.2,3,2.6,9.3
