Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,24,GSW,23,0,196,4.2,9.9,0.426,0,0,,4.2,9.9,0.426,2,3.5,0.579,4.2,6.4,10.7,1.8,0.7,0.9,1.7,5.1,10.5
2,Arron Afflalo,SG,25,DEN,69,69,2324,4.8,9.7,0.498,1.6,3.8,0.423,3.2,5.9,0.546,2.1,2.5,0.847,0.7,3.2,3.9,2.6,0.5,0.5,1.1,2.4,13.4
3,Maurice Ager,SG,26,MIN,4,0,29,7.4,13.7,0.545,3.7,5,0.75,3.7,8.7,0.429,0,0,,0,2.5,2.5,1.2,1.2,0,5,5,18.6
4,Alexis Ajinça,C,22,TOT,34,2,340,6.2,14.1,0.444,1.3,3.6,0.353,5,10.5,0.475,1.4,1.9,0.722,1.8,6.5,8.3,1.1,1.2,2,1.9,7.7,15.1
5,Solomon Alabi,C,22,TOR,12,0,59,1.8,9.2,0.2,0,0,,1.8,9.2,0.2,0,1.2,0,4.3,4.3,8.5,1.2,1.2,1.2,1.8,3.1,3.7
6,Cole Aldrich,C,22,OKC,18,0,142,2,3.8,0.533,0,0,,2,3.8,0.533,0.5,1,0.5,3.3,5.6,8.9,1,1.3,1.8,2,7.6,4.6
7,LaMarcus Aldridge,PF,25,POR,81,81,3211,7.9,15.9,0.5,0,0.3,0.174,7.9,15.6,0.505,3.9,5,0.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8
8,Malik Allen,PF,32,ORL,18,0,178,2.2,6.3,0.355,0,0,,2.2,6.3,0.355,0.2,0.4,0.5,2.4,4,6.5,0.8,0.2,0.8,0.6,6.1,4.7
9,Ray Allen*,SG,35,BOS,80,80,2890,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5
10,Tony Allen,SG,29,MEM,72,31,1494,6,11.9,0.51,0.1,0.6,0.174,6,11.3,0.527,3.3,4.4,0.753,1.7,3,4.7,2.5,3.1,1.1,2.1,3.9,15.5
11,Al-Farouq Aminu,SF,20,LAC,81,14,1452,4,10.1,0.394,1.1,3.5,0.315,2.9,6.5,0.437,2.3,3,0.773,1.9,4.8,6.6,1.5,1.5,0.6,2.6,3,11.3
12,Lou Amundson,PF,28,GSW,46,7,691,4.3,9.5,0.454,0,0,,4.3,9.5,0.454,1.8,4.5,0.391,4.2,5.4,9.6,0.9,0.7,1.7,1.3,4.5,10.4
13,Chris Andersen,C,32,DEN,45,0,732,4,6.7,0.599,0,0,0,4,6.7,0.603,4.2,6.6,0.637,3.7,7.1,10.8,1,1.1,2.9,1.2,3.9,12.3
14,David Andersen,PF,30,TOT,40,0,373,5.4,11.7,0.463,0.8,2.2,0.348,4.6,9.5,0.49,1.4,2.1,0.636,1.9,6.2,8.1,1.3,0.5,0.9,2.1,3.9,12.9
15,James Anderson,SF,21,SAS,26,2,286,3.9,10.2,0.383,2.3,5.8,0.391,1.6,4.4,0.371,1.8,2.3,0.778,0.3,2.6,2.9,2.3,0.4,0.8,1.6,3,11.8
16,Ryan Anderson,PF,22,ORL,64,14,1424,5.7,13.3,0.43,3.4,8.6,0.393,2.3,4.7,0.5,2.4,3,0.812,3.3,5.7,9,1.3,0.8,1,1.2,3.5,17.2
17,Carmelo Anthony,SF,26,TOT,77,77,2751,9,19.7,0.455,1.2,3.3,0.378,7.7,16.4,0.47,6.6,7.9,0.838,1.5,5.8,7.4,2.9,0.9,0.6,2.7,2.9,25.8
18,Joel Anthony,C,28,MIA,75,11,1463,1.3,2.4,0.535,0,0,,1.3,2.4,0.535,1.2,1.8,0.644,2.6,4,6.5,0.6,0.2,2.3,0.9,4.8,3.8
19,Gilbert Arenas,PG,29,TOT,70,16,1796,5.4,14.7,0.366,1.9,6.6,0.297,3.4,8.2,0.423,2.4,3.1,0.784,0.4,3.3,3.8,5.5,1.5,0.4,3.5,3.8,15.1
20,Trevor Ariza,SF,25,NOH,75,75,2600,4.2,10.6,0.398,1.1,3.8,0.303,3.1,6.8,0.45,1.9,2.7,0.701,0.8,4.8,5.6,2.2,1.7,0.4,1.6,2.5,11.4
21,Hilton Armstrong,C,26,TOT,53,2,488,2.7,5.6,0.487,0.1,0.3,0.5,2.6,5.3,0.486,1.2,2.4,0.485,3.1,6.6,9.7,1,1.3,1.5,2.1,6.2,6.8
22,Carlos Arroyo,PG,31,TOT,64,43,1185,3.6,8.3,0.44,0.9,2.1,0.449,2.7,6.2,0.436,1.2,1.4,0.83,0.6,2.5,3.1,3.8,0.6,0,1.8,2.2,9.4
23,Darrell Arthur,PF,22,MEM,80,9,1609,6.9,14,0.497,0,0.1,0,6.9,13.8,0.502,2.4,3,0.813,2.6,5.1,7.7,1.2,1.2,1.4,2,5.1,16.3
24,Ömer A_ık,C,24,CHI,82,0,989,2.8,5.1,0.553,0,0,,2.8,5.1,0.553,2.7,5.3,0.503,4.1,7.1,11.1,1.2,0.7,2,2.3,5.6,8.3
25,D.J. Augustin,PG,23,CHA,82,82,2757,5.2,12.5,0.416,1.4,4.3,0.333,3.8,8.2,0.461,3.5,3.9,0.906,0.5,2.4,2.9,6.5,0.7,0,2,2,15.4
26,Luke Babbitt,SF,21,POR,24,0,137,3.9,14.5,0.273,0.8,4.2,0.188,3.2,10.2,0.308,0.8,2.4,0.333,1.6,6.3,7.9,1.6,0.5,0.5,2.1,3.9,9.5
27,Renaldo Balkman,SF,26,TOT,8,0,62,3.5,7.5,0.462,0.6,1.2,0.5,2.9,6.4,0.455,1.7,2.3,0.75,1.2,2.9,4.1,1.2,2.3,1.2,0.6,8.7,9.3
28,Marcus Banks,PG,29,TOR,3,0,22,0,3.3,0,0,0,,0,3.3,0,9.8,13.1,0.75,0,1.6,1.6,4.9,1.6,0,3.3,6.5,9.8
29,Leandro Barbosa,SG,28,TOR,58,0,1395,7.6,16.9,0.45,1.9,5.5,0.338,5.7,11.4,0.505,2.8,3.5,0.796,0.4,2.2,2.6,3.1,1.3,0.2,2.2,2.9,19.8
30,J.J. Barea,PG,26,DAL,81,2,1669,6.1,14,0.439,1.4,4.1,0.349,4.7,9.9,0.476,2.9,3.4,0.847,0.6,2.8,3.4,6.8,0.6,0,2.9,2.9,16.6
31,Andrea Bargnani,C,25,TOR,66,66,2353,8,17.9,0.448,1.2,3.4,0.345,6.9,14.5,0.472,4.4,5.4,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.6
32,Matt Barnes,SF,30,LAL,53,0,1020,4.6,9.8,0.47,1.2,3.8,0.318,3.4,6.1,0.564,2.1,2.7,0.779,2.6,5.5,8,2.5,1.4,0.8,2,4.5,12.6
33,Earl Barron,C,29,TOT,21,7,305,3.8,11.7,0.323,0,0,,3.8,11.7,0.323,1.8,2.8,0.625,3.8,5.2,9,1.3,0.9,0.7,1.9,5.4,9.3
34,Brandon Bass,PF,25,ORL,76,51,1980,6,11.7,0.515,0,0,0,6,11.7,0.516,3.5,4.2,0.815,2.4,5.3,7.7,1,0.5,0.9,1.8,2.9,15.5
35,Tony Battie,C,34,PHI,38,0,377,4.3,9.2,0.469,0.2,0.3,0.667,4.1,8.9,0.462,0.8,1.3,0.571,1.6,7.8,9.5,1.1,0.5,1.4,1.1,5.6,9.5
36,Shane Battier,SF,32,TOT,82,59,2375,3.5,7.7,0.45,1.5,4,0.382,1.9,3.7,0.525,1,1.4,0.688,1.4,4.3,5.7,2.8,1,1.2,1.2,2.4,9.5
37,Nicolas Batum,SF,22,POR,80,67,2522,5.2,11.5,0.455,1.7,4.9,0.345,3.6,6.6,0.535,2,2.3,0.841,1.6,3.6,5.2,1.8,1,0.7,1.2,2.8,14.1
38,Jerryd Bayless,PG,22,TOT,71,14,1496,5.2,12.4,0.422,1.2,3.5,0.336,4.1,8.9,0.456,4,5,0.806,0.6,3.3,4,6.4,0.9,0.1,3.1,3.6,15.7
39,Michael Beasley,SF,22,MIN,73,73,2361,8.6,19,0.45,0.9,2.5,0.366,7.6,16.5,0.463,3.3,4.4,0.753,1.8,4.4,6.2,2.4,0.8,0.8,3,3.4,21.4
40,Rodrigue Beaubois,PG,22,DAL,28,26,496,6.8,16.2,0.422,1.8,6,0.301,5,10.2,0.493,1.7,2.2,0.767,0.5,3.3,3.8,4.6,1.5,0.6,3.4,5.5,17.1
41,Marco Belinelli,SG,24,NOH,80,69,1957,5.6,12.7,0.437,2.5,6,0.414,3.1,6.8,0.458,1.8,2.3,0.784,0.3,2.5,2.8,1.7,0.7,0.1,1.4,2.7,15.4
42,Charlie Bell,SG,31,GSW,19,0,171,2.5,9.1,0.279,1.3,4.4,0.286,1.3,4.6,0.273,0.4,0.8,0.5,1.3,2.5,3.8,2.7,1.3,0.2,1.3,2.7,6.7
43,Raja Bell,SG,34,UTA,68,63,2097,3.3,8,0.409,1.2,3.3,0.352,2.1,4.7,0.449,1.6,1.8,0.892,0.5,2.5,3,2,1,0.2,1.1,2.9,9.3
44,Mike Bibby,PG,32,TOT,80,68,2285,3.9,9.1,0.431,2.4,5.5,0.44,1.5,3.6,0.417,0.6,1,0.629,0.3,2.8,3.1,4.2,0.8,0.1,1.6,2.8,10.8
45,Andris Biedri__,C,24,GSW,59,55,1397,3.7,6.9,0.534,0,0,,3.7,6.9,0.534,0.3,0.8,0.323,3.7,7.2,11,1.5,1.3,1.3,1.5,5.1,7.6
46,Chauncey Billups,PG,34,TOT,72,72,2310,5.3,12.4,0.427,2.3,5.7,0.402,3,6.7,0.448,6,6.5,0.916,0.4,2.6,3,6,1.1,0.2,2.8,2.3,18.8
47,DeJuan Blair,PF,21,SAS,81,65,1734,6.1,12.1,0.501,0,0,0,6.1,12.1,0.503,1.9,2.8,0.657,4.5,7.3,11.7,1.6,2,0.9,2.3,4.4,14
48,Steve Blake,PG,30,LAL,79,0,1581,2.5,7,0.359,1.7,4.4,0.378,0.8,2.6,0.327,0.6,0.7,0.867,0.4,3.1,3.6,3.9,0.9,0.1,1.7,2.3,7.3
49,Andray Blatche,PF,24,WAS,64,63,2172,7.1,15.9,0.445,0.1,0.3,0.222,7,15.6,0.449,3.6,4.7,0.777,3,5.7,8.7,2.4,1.6,0.8,2.9,3,17.8
50,Eric Bledsoe,PG,21,LAC,81,25,1841,4,9.5,0.424,0.6,2.3,0.276,3.4,7.2,0.47,1.9,2.6,0.744,1.3,3,4.4,5.7,1.8,0.5,3.8,2.5,10.6
51,Keith Bogans,SG,30,CHI,82,82,1461,3.1,7.6,0.404,2.2,5.8,0.38,0.8,1.7,0.486,0.5,0.8,0.656,0.5,3.2,3.6,2.5,0.9,0.2,1,2.8,8.8
52,Andrew Bogut,C,26,MIL,65,65,2297,5.8,11.6,0.495,0,0.1,0,5.8,11.6,0.497,1.5,3.4,0.442,3.1,8.2,11.3,2.1,0.7,2.6,2,3.4,13
53,Matt Bonner,PF,30,SAS,66,1,1432,4.3,9.3,0.464,2.6,5.8,0.457,1.7,3.5,0.475,0.8,1.1,0.744,1.5,4.5,6,1.5,0.7,0.5,0.7,2.8,12.1
54,Trevor Booker,PF,23,WAS,65,14,1063,4.7,8.6,0.549,0,0,0,4.7,8.5,0.552,2.3,3.4,0.673,3.3,5.2,8.5,1.2,1,1.4,1.3,3.9,11.7
55,Carlos Boozer,C,29,CHI,59,59,1882,8.2,16.2,0.51,0,0,,8.2,16.2,0.51,3.3,4.7,0.701,2.5,8.3,10.8,2.8,0.9,0.3,2.9,3.6,19.8
56,Chris Bosh,PF,26,MIA,77,77,2795,6.7,13.6,0.496,0.1,0.3,0.24,6.7,13.3,0.502,4.9,6.1,0.815,1.8,6.4,8.3,1.9,0.8,0.6,1.8,2.2,18.5
57,Earl Boykins,PG,34,MIL,57,0,862,6.5,14.7,0.443,1.1,3,0.38,5.4,11.7,0.459,2.9,3.4,0.841,0.6,1.7,2.3,5.9,1.6,0.1,2.2,1.8,17
58,Craig Brackins,PF,23,PHI,3,0,33,4.4,17.5,0.25,0,5.5,0,4.4,12,0.364,0,0,,2.2,2.2,4.4,1.1,1.1,0,0,3.3,8.7
59,Avery Bradley,PG,20,BOS,31,0,162,5.1,14.9,0.343,0,1.1,0,5.1,13.8,0.371,1.3,2.7,0.5,0.9,2.9,3.8,2.7,2,0,3.6,4.4,11.6
