Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Acker,SG,26,TOT,25,0,199,5.4,13.7,0.395,1.3,3.6,0.35,4.2,10.1,0.411,0.9,1.8,0.5,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13
2,Hassan Adams,SG,24,TOR,12,0,52,2.8,9,0.308,0,0,,2.8,9,0.308,2.1,4.2,0.5,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6
3,Arron Afflalo,SG,23,DET,74,8,1234,3.8,8.8,0.437,1.3,3.1,0.402,2.6,5.6,0.456,1.7,2.1,0.817,0.9,3,3.9,1.3,0.8,0.4,1.3,4.2,10.6
4,Maurice Ager,SG,24,NJN,20,0,97,5.6,16,0.349,0,2.2,0,5.6,13.7,0.405,1.5,3,0.5,1.1,2.6,3.7,1.1,0.4,0.7,1.5,6.3,12.6
5,Blake Ahearn,PG,24,SAS,3,0,19,3.8,11.4,0.333,3.8,7.6,0.5,0,3.8,0,3.8,3.8,1,0,1.9,1.9,3.8,1.9,0,1.9,5.7,15.2
6,Alexis Ajinça,PF,20,CHA,31,4,182,4.9,13.6,0.362,0,0.4,0,4.9,13.3,0.373,4,5.5,0.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8
7,LaMarcus Aldridge,PF,23,POR,81,81,3004,7.2,14.9,0.484,0.1,0.3,0.25,7.1,14.6,0.489,3.1,4,0.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6
8,Joe Alexander,SF,22,MIL,59,0,716,5.1,12.3,0.416,0.8,2.3,0.348,4.3,10,0.432,2.9,4.2,0.699,2.2,3.6,5.8,2.1,0.8,1.5,2.6,5.4,14
9,Malik Allen,PF,30,MIL,49,3,579,4.5,10.6,0.429,0,0.1,0,4.5,10.5,0.432,0.6,1.3,0.476,2.2,4.2,6.4,2.2,0.4,0.7,1.2,5.5,9.7
10,Ray Allen*,SG,33,BOS,79,79,2876,6.2,13,0.48,2.5,6.1,0.409,3.8,6.9,0.542,3,3.1,0.952,0.8,2.7,3.5,2.7,0.9,0.2,1.7,2,17.9
11,Tony Allen,SG,27,BOS,46,2,887,5.6,11.5,0.482,0.2,1.1,0.222,5.3,10.4,0.51,3.2,4.4,0.725,0.9,3.3,4.2,2.7,2.2,0.9,3.1,4,14.6
12,Morris Almond,SG,23,UTA,25,1,255,4.7,11.4,0.407,0.7,2.4,0.294,4,9,0.438,3,3.7,0.808,1.3,3.8,5.1,1,0.6,0.6,2.3,4.4,13
13,Rafer Alston,PG,32,TOT,77,76,2447,4.6,12.1,0.385,1.6,4.9,0.338,3,7.2,0.417,2.3,3.1,0.75,0.5,2.9,3.3,6,1.6,0.1,2.1,2,13.2
14,Lou Amundson,PF,26,PHO,76,0,1044,4.6,8.6,0.536,0,0,0,4.6,8.6,0.538,1.8,4.1,0.442,4.4,4.9,9.3,1,1.1,2.2,1.9,5.3,11.1
15,Chris Andersen,C,30,DEN,71,1,1460,3.9,7.2,0.548,0,0.2,0.2,3.9,7,0.56,3.2,4.5,0.718,4,6.9,10.9,0.8,1,4.3,1.7,4.3,11.1
16,Ryan Anderson,PF,20,NJN,66,30,1312,4.4,11.2,0.393,1.9,5.2,0.365,2.5,6,0.417,2.7,3.2,0.845,2.9,5.7,8.5,1.4,1.2,0.5,1.7,4.3,13.4
17,Carmelo Anthony,SF,24,DEN,66,66,2277,8.5,19.1,0.443,1,2.7,0.371,7.5,16.4,0.455,5.9,7.4,0.793,1.7,5.4,7.1,3.5,1.2,0.4,3.1,3.1,23.8
18,Joel Anthony,C,26,MIA,65,28,1048,2,4.1,0.483,0,0,,2,4.1,0.483,1,1.6,0.652,3.1,3.7,6.8,0.9,0.7,3.2,1.4,4.8,4.9
19,Gilbert Arenas,PG,27,WAS,2,2,63,3.4,13.1,0.261,1.1,4,0.286,2.3,9.1,0.25,6.9,9.1,0.75,0.6,4.6,5.1,11.4,0,0.6,0.6,2.3,14.9
20,Trevor Ariza,SF,23,LAL,82,20,1999,4.9,10.7,0.46,1.1,3.4,0.319,3.8,7.3,0.526,2.2,3,0.71,2,4.3,6.3,2.6,2.5,0.4,1.6,3,13.1
21,Hilton Armstrong,C,24,NOH,70,29,1092,4.5,8.1,0.561,0,0.1,0,4.5,8,0.566,2,3.2,0.633,2.7,3.8,6.4,1,0.9,1.5,2.6,6,11.1
