Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Álex Abrines,SG,23,OKC,68,6,1055,4.6,11.6,0.393,3.2,8.4,0.381,1.4,3.2,0.426,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
2,Quincy Acy,PF,26,TOT,38,1,558,4.5,11,0.412,2.4,5.8,0.411,2.1,5.2,0.413,2.9,3.9,0.75,1.3,6.1,7.4,1.2,0.9,1,1.4,4.3,14.3
3,Steven Adams,C,23,OKC,80,80,2389,5.6,9.9,0.571,0,0,0,5.6,9.9,0.572,2.4,3.9,0.611,4.2,5,9.2,1.3,1.3,1.2,2.2,2.9,13.6
4,Arron Afflalo,SG,31,SAC,61,45,1580,4.2,9.6,0.44,1.4,3.4,0.411,2.8,6.1,0.457,1.9,2.1,0.892,0.2,2.6,2.8,1.8,0.5,0.1,1,2.4,11.7
5,Alexis Ajinça,C,28,NOP,39,15,584,5.5,11,0.5,0,0.2,0,5.5,10.7,0.511,1.8,2.5,0.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8
6,Cole Aldrich,C,28,MIN,62,0,531,3.1,5.8,0.523,0,0,,3.1,5.8,0.523,1,1.5,0.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1
7,LaMarcus Aldridge,PF,31,SAS,72,72,2335,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.48,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2
8,Lavoy Allen,PF,27,IND,61,5,871,3.2,6.9,0.458,0,0,0,3.2,6.9,0.461,1,1.4,0.697,4.3,4.7,9.1,2.4,0.7,1,1.2,3.2,7.3
9,Tony Allen,SG,35,MEM,71,66,1914,5.2,11.2,0.461,0.3,1,0.278,4.9,10.2,0.479,1.5,2.4,0.615,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1
10,Al-Farouq Aminu,PF,26,POR,61,25,1773,3.7,9.5,0.393,1.4,4.3,0.33,2.3,5.2,0.445,1.9,2.8,0.706,1.6,7.6,9.2,2,1.2,0.9,1.9,2.1,10.8
