Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
132,Andre Emmett,SF,29,NJN,6,0,45,3.2,5.6,0.571,0,0.8,0,3.2,4.8,0.667,4,6.4,0.625,1.6,3.2,4.8,0.8,1.6,0.8,1.6,1.6,10.4
133,Semih Erden,C,25,CLE,28,9,333,4.2,8,0.527,0,0,,4.2,8,0.527,2.3,4.4,0.512,2.2,5.6,7.8,1,1.1,0.5,1.7,6.5,10.7
134,Jeremy Evans,SF,24,UTA,29,0,217,4.5,7,0.643,0,0.2,0,4.5,6.8,0.659,1.3,2.7,0.5,3.2,5.1,8.3,2.2,1,4,0.8,3.8,10.3
135,Maurice Evans,SF,33,WAS,24,0,343,4.7,11.8,0.402,1.8,4.7,0.378,2.9,7,0.418,1,1.4,0.769,0.8,1.7,2.5,0.9,1.5,0,1,3.8,12.3
136,Reggie Evans,PF,31,LAC,56,0,771,1.6,3.4,0.472,0,0,,1.6,3.4,0.472,1.7,3.3,0.507,4.7,8,12.7,0.8,1.4,0.3,2.1,5.5,4.9
137,Tyreke Evans,SG,22,SAC,63,61,2162,6.8,15,0.453,0.3,1.6,0.202,6.5,13.3,0.484,3.3,4.3,0.779,1.1,3.7,4.8,4.7,1.4,0.5,2.8,2.3,17.3
138,Christian Eyenga,SF,22,TOT,7,0,102,2.1,8.8,0.24,0.4,1.1,0.333,1.8,7.8,0.227,1.4,2.8,0.5,1.4,3.5,4.9,1.8,1.1,1.8,1.1,2.5,6
139,Kenneth Faried,PF,22,DEN,46,39,1037,6.3,10.7,0.586,0,0,,6.3,10.7,0.586,3.8,5.7,0.665,4.9,7.3,12.2,1.2,1.2,1.6,1.9,4,16.4
140,Jordan Farmar,PG,25,NJN,39,5,831,6.4,13.6,0.467,2.4,5.4,0.44,4,8.2,0.484,2.5,2.7,0.905,0.3,2.3,2.6,5.6,1,0.1,2.9,2.1,17.6
141,Derrick Favors,PF,20,UTA,65,9,1376,5.8,11.6,0.499,0,0,,5.8,11.6,0.499,3.3,5.1,0.649,4.1,7,11.1,1.1,1,1.7,2.7,3.8,14.9
