Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Álex Abrines,SG,25,OKC,31,2,588,3.4,9.6,0.357,2.5,7.8,0.323,0.9,1.8,0.5,0.7,0.8,0.923,0.3,2.6,2.9,1.2,1,0.4,0.9,3.2,10.1
2,Quincy Acy,PF,28,PHO,10,0,123,1.2,5.3,0.222,0.6,4.4,0.133,0.6,0.9,0.667,2,2.9,0.7,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7,5
3,Jaylen Adams,PG,22,ATL,34,1,428,3.2,9.3,0.345,2.1,6.2,0.338,1.1,3,0.361,0.6,0.8,0.778,0.9,4.1,5,5.5,1.2,0.4,2.4,3.8,9.1
4,Steven Adams,C,25,OKC,80,80,2669,6.5,10.9,0.595,0,0,0,6.5,10.9,0.596,2,3.9,0.5,5.3,5,10.3,1.7,1.6,1,1.8,2.8,14.9
5,Bam Adebayo,C,21,MIA,82,28,1913,5.3,9.1,0.576,0.1,0.3,0.2,5.2,8.9,0.588,3.1,4.3,0.735,3.1,8.1,11.2,3.5,1.3,1.2,2.3,3.8,13.7
6,Deng Adel,SF,21,CLE,19,3,194,2,6.7,0.306,1.1,4.3,0.261,0.9,2.4,0.385,0.7,0.7,1,0.6,3,3.5,0.9,0.2,0.7,1.1,2.4,5.9
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,4.9,16.4,0.3,0,6.5,0,4.9,9.8,0.5,1.6,3.3,0.5,1.6,4.9,6.5,9.8,3.3,0,3.3,6.5,11.5
8,LaMarcus Aldridge,C,33,SAS,81,81,2687,9.2,17.7,0.519,0.1,0.6,0.238,9,17.1,0.528,4.7,5.5,0.847,3.4,6.6,10,2.6,0.6,1.4,1.9,2.4,23.1
9,Rawle Alkins,SG,21,CHI,10,1,120,3.9,11.7,0.333,0.9,3.6,0.25,3,8.1,0.37,2.4,3.6,0.667,3.3,4.5,7.8,3.9,0.3,0,2.4,2.1,11.1
10,Grayson Allen,SG,23,UTA,38,2,416,5.8,15.4,0.376,2.8,8.6,0.323,3,6.8,0.443,3.9,5.2,0.75,0.3,1.7,2,2.2,0.5,0.5,2.9,4.1,18.3
11,Jarrett Allen,C,20,BRK,80,80,2096,5.8,9.8,0.59,0.1,0.8,0.133,5.7,9,0.629,3.4,4.8,0.709,3.3,8.3,11.5,1.9,0.7,2.1,1.8,3.2,15
12,Kadeem Allen,PG,26,NYK,19,1,416,5.6,12.2,0.461,1.5,3.1,0.472,4.2,9.1,0.457,3.6,4.7,0.778,0.7,3.7,4.4,6.6,1.4,0.3,2.3,4,16.4
13,Al-Farouq Aminu,PF,28,POR,81,81,2292,4,9.3,0.433,1.5,4.4,0.343,2.5,4.9,0.514,2.4,2.7,0.867,1.8,7.8,9.6,1.6,1.1,0.5,1.1,2.2,11.9
14,Justin Anderson,SF,25,ATL,48,4,463,5,12.2,0.408,1.9,6,0.312,3.1,6.2,0.5,2,2.7,0.743,1.9,4.7,6.5,1.8,1.7,1,1.8,3.7,13.8
15,Kyle Anderson,SF,25,MEM,43,40,1281,4.2,7.8,0.543,0.3,1,0.265,4,6.8,0.583,1,1.8,0.578,1.3,5.7,7.1,3.6,1.5,1,1.6,3.1,9.7
16,Ryan Anderson,PF,30,TOT,25,8,322,2.3,7.7,0.304,1,4.5,0.225,1.3,3.2,0.414,1.3,1.8,0.75,2,4,6,2.1,0.4,0.1,1.6,2.8,7
17,Ike Anigbogu,C,20,IND,3,0,6,0,18,0,0,0,,0,18,0,0,0,,6,12,18,6,0,6,6,0,0
18,Giannis Antetokounmpo,PF,24,MIL,72,72,2358,11,19,0.578,0.8,3.1,0.256,10.2,15.9,0.641,7.6,10.5,0.729,2.4,11.3,13.7,6.5,1.4,1.7,4.1,3.5,30.4
19,Kostas Antetokounmpo,PF,21,DAL,2,0,11,0,9.8,0,0,0,,0,9.8,0,6.5,13.1,0.5,0,3.3,3.3,0,6.5,0,3.3,0,6.5
20,Carmelo Anthony,PF,34,HOU,10,2,294,6,14.8,0.405,2.6,7.8,0.328,3.4,7,0.491,1.8,2.7,0.682,1.1,5.5,6.6,0.6,0.5,0.9,1,3.9,16.4
21,OG Anunoby,SF,21,TOR,67,6,1352,4.9,10.8,0.453,1.8,5.4,0.332,3.1,5.4,0.574,1,1.7,0.581,1.5,3.7,5.2,1.3,1.2,0.6,1.5,3.7,12.5
22,Ryan Arcidiacono,PG,24,CHI,81,32,1961,3.4,7.7,0.447,1.5,4,0.373,1.9,3.7,0.527,1.6,1.9,0.873,0.5,3.5,4,4.9,1.2,0.1,1.2,3.1,10
23,Trevor Ariza,SF,33,TOT,69,69,2349,4.5,11.3,0.399,2.2,6.7,0.334,2.3,4.6,0.493,2,2.5,0.793,0.8,4.9,5.7,3.9,1.4,0.3,1.6,2,13.2
