Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams,C,26,OKC,63,63,1680,6.1,10.2,0.592,0,0.1,0.333,6,10.2,0.594,2.5,4.3,0.582,4.4,8.1,12.5,3.1,1.1,1.4,2,2.6,14.7
2,Bam Adebayo,PF,22,MIA,72,72,2417,6.6,11.8,0.557,0,0.2,0.143,6.5,11.6,0.564,3.9,5.7,0.691,2.6,8.3,10.9,5.5,1.2,1.4,3,2.7,17.1
3,LaMarcus Aldridge,C,34,SAS,53,53,1754,8,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.827,2.1,5.9,8,2.6,0.7,1.8,1.5,2.6,20.5
4,Kyle Alexander,C,23,MIA,2,0,13,2.8,5.5,0.5,0,0,,2.8,5.5,0.5,0,0,,5.5,2.8,8.3,0,0,0,2.8,2.8,5.5
5,Nickeil Alexander-Walker,SG,21,NOP,47,1,591,6,16.2,0.368,2.8,8.1,0.346,3.2,8.1,0.391,1.5,2.3,0.676,0.5,4.6,5.1,5.4,1,0.5,3.3,3.5,16.3
6,Grayson Allen,SG,24,MEM,38,0,718,5.9,12.6,0.466,2.9,7.1,0.404,3,5.5,0.545,2,2.3,0.867,0.4,3.9,4.3,2.6,0.5,0.1,1.7,2.7,16.5
7,Jarrett Allen,C,21,BRK,70,64,1852,5.9,9,0.649,0,0.1,0,5.9,8.9,0.658,3.3,5.2,0.633,4.2,8.8,13,2.1,0.8,1.8,1.5,3.1,15.1
8,Kadeem Allen,PG,27,NYK,10,0,117,5.8,13.5,0.432,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
9,Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,0.291,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6,8.2,2,1.7,0.8,1.6,2.6,7.4
10,Justin Anderson,SG,26,BRK,10,1,107,3.4,12.8,0.263,2,9.8,0.207,1.3,3,0.444,0.7,1.3,0.5,0.3,6.7,7.1,2.7,0,2,1.3,4.4,9.4
11,Kyle Anderson,SF,26,MEM,67,28,1330,4.2,9,0.474,0.6,2.3,0.282,3.6,6.7,0.541,1.4,2.1,0.667,1.6,6.1,7.7,4.4,1.5,1,1.8,3,10.6
12,Ryan Anderson,C,31,HOU,2,0,14,5.1,18,0.286,2.6,12.9,0.2,2.6,5.1,0.5,0,0,,0,18,18,5.1,2.6,0,2.6,2.6,12.9
13,Giannis Antetokounmpo,PF,25,MIL,63,63,1917,12.9,23.2,0.553,1.7,5.5,0.304,11.2,17.7,0.631,7.5,11.8,0.633,2.6,13.4,16.1,6.6,1.1,1.2,4.3,3.7,34.9
14,Kostas Antetokounmpo,PF,22,LAL,5,0,20,5.4,5.4,1,0,0,,5.4,5.4,1,1.8,3.6,0.5,3.6,1.8,5.4,3.6,0,0,1.8,3.6,12.6
15,Thanasis Antetokounmpo,SF,27,MIL,20,2,129,6.7,13.4,0.5,0,2.8,0,6.7,10.6,0.632,2,4.7,0.412,3.3,3.3,6.7,4.2,2,0.6,3.3,5,15.3
16,Carmelo Anthony,PF,35,POR,58,58,1902,6.4,14.8,0.43,1.6,4.3,0.385,4.7,10.5,0.448,2.6,3,0.845,1.3,5.6,7,1.6,0.9,0.5,1.9,3.2,16.9
17,OG Anunoby,SF,22,TOR,69,68,2066,5,9.9,0.505,1.6,4,0.39,3.4,5.9,0.583,1.3,1.8,0.706,1.4,4.9,6.3,1.9,1.7,0.8,1.4,2.9,12.8
18,Ryan Arcidiacono,PG,25,CHI,58,4,930,3.5,8.5,0.409,2.1,5.3,0.391,1.4,3.2,0.439,1,1.5,0.711,0.8,3.5,4.3,3.7,1,0.1,1.4,3.7,10.1
19,Trevor Ariza,SF,34,TOT,53,21,1493,3.4,7.8,0.438,1.9,5,0.372,1.6,2.8,0.556,1.5,1.8,0.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
20,D.J. Augustin,PG,32,ORL,57,13,1420,4.7,11.7,0.399,1.8,5.1,0.348,2.9,6.6,0.438,4.1,4.6,0.89,0.6,2.5,3.1,6.6,0.9,0,2.2,1.8,15.2
21,Deandre Ayton,C,21,PHO,38,32,1236,9,16.5,0.546,0.1,0.4,0.231,8.9,16.2,0.553,2,2.6,0.753,4.3,8.4,12.7,2.1,0.8,1.7,2.3,3.4,20.1
22,Dwayne Bacon,SG,24,CHO,39,11,687,4.5,12.8,0.348,1,3.5,0.284,3.5,9.3,0.373,1.8,2.8,0.66,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
23,Marvin Bagley III,C,20,SAC,13,6,334,8.4,18,0.467,0.4,2.4,0.182,8,15.6,0.51,2.7,3.3,0.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
24,Lonzo Ball,PG,22,NOP,63,54,2025,4.9,12.2,0.403,2.6,7,0.375,2.3,5.2,0.442,0.8,1.4,0.566,1.3,5.5,6.8,7.8,1.6,0.7,3.4,2.3,13.2
25,Mo Bamba,C,21,ORL,62,0,878,5.4,11.7,0.462,1.5,4.4,0.346,3.9,7.3,0.531,1.3,1.9,0.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.6
